Cpu0  :  4.0%us,  5.1%sy,  0.0%ni, 89.3%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.1%sy,  0.0%ni, 89.3%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.1%sy,  0.0%ni, 89.2%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.1%sy,  0.0%ni, 89.2%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.2%sy,  0.0%ni, 89.2%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.2%sy,  0.0%ni, 89.2%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.2%sy,  0.0%ni, 89.1%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.2%sy,  0.0%ni, 89.1%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.2%sy,  0.0%ni, 89.1%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.3%sy,  0.0%ni, 89.1%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.3%sy,  0.0%ni, 89.0%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.3%sy,  0.0%ni, 89.0%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.3%sy,  0.0%ni, 89.0%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.4%sy,  0.0%ni, 89.0%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.4%sy,  0.0%ni, 88.9%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.4%sy,  0.0%ni, 88.9%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.4%sy,  0.0%ni, 88.9%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.4%sy,  0.0%ni, 88.9%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.5%sy,  0.0%ni, 88.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.5%sy,  0.0%ni, 88.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.5%sy,  0.0%ni, 88.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.5%sy,  0.0%ni, 88.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.0%us,  5.5%sy,  0.0%ni, 88.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
